# kon = 10.000000
#              p = 0.900000
#              R = 1.000000
#              tmax  = 2000
#              L  = 200
#              M  = 10
#              columns: time,dx2,dx2_err
#              
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,2.300000000000000377e-01,1.816590212458494766e-02
2.000000000000000000e+00,3.679999999999999938e-01,3.012640038238886125e-02
3.000000000000000000e+00,4.759999999999999787e-01,4.741729642229720876e-02
4.000000000000000000e+00,5.729999999999999538e-01,6.378165880564726220e-02
5.000000000000000000e+00,6.719999999999999307e-01,7.257823365169477348e-02
6.000000000000000000e+00,7.469999999999999973e-01,7.474021675109057683e-02
7.000000000000000000e+00,8.659999999999999920e-01,1.035490222068755350e-01
8.000000000000000000e+00,9.280000000000001581e-01,8.574147187913208623e-02
9.000000000000000000e+00,9.370000000000000551e-01,8.644130956897864981e-02
1.000000000000000000e+01,1.043000000000000149e+00,7.783379728626890759e-02
1.100000000000000000e+01,1.117999999999999883e+00,8.153281547941293450e-02
1.200000000000000000e+01,1.156000000000000139e+00,7.367767640201475232e-02
1.300000000000000000e+01,1.223000000000000309e+00,5.912782762794520364e-02
1.400000000000000000e+01,1.239999999999999769e+00,8.301807032206903747e-02
1.500000000000000000e+01,1.398000000000000131e+00,1.191033164945460021e-01
1.600000000000000000e+01,1.414000000000000146e+00,1.085467641157487478e-01
1.700000000000000000e+01,1.484999999999999876e+00,9.417271367014969086e-02
1.800000000000000000e+01,1.579999999999999849e+00,1.066958293467931140e-01
1.900000000000000000e+01,1.627000000000000002e+00,9.909641769509126841e-02
2.000000000000000000e+01,1.705000000000000071e+00,7.772065362566117630e-02
2.100000000000000000e+01,1.810999999999999943e+00,7.821061309055184207e-02
2.200000000000000000e+01,1.821000000000000396e+00,9.128471942225600821e-02
2.300000000000000000e+01,1.840999999999999970e+00,5.836865597219107610e-02
2.400000000000000000e+01,1.963999999999999968e+00,9.100769198260112713e-02
2.500000000000000000e+01,2.041999999999999815e+00,1.039499879749872652e-01
2.600000000000000000e+01,2.041999999999999815e+00,1.152111105753260145e-01
2.700000000000000000e+01,2.048000000000000487e+00,1.076921538460439559e-01
2.800000000000000000e+01,2.113999999999999879e+00,9.918870903484930390e-02
2.900000000000000000e+01,2.180000000000000604e+00,1.258570617804181946e-01
3.000000000000000000e+01,2.184999999999999609e+00,1.438766833090059649e-01
3.100000000000000000e+01,2.208999999999999631e+00,1.619966049026954069e-01
3.200000000000000000e+01,2.139000000000000234e+00,1.539769463263900295e-01
3.300000000000000000e+01,2.116999999999999993e+00,1.505260774749677399e-01
3.400000000000000000e+01,2.171000000000000263e+00,1.646478059374008318e-01
3.500000000000000000e+01,2.187999999999999723e+00,1.675696869961867674e-01
3.600000000000000000e+01,2.183000000000000718e+00,1.543635319627016111e-01
3.700000000000000000e+01,2.319999999999999840e+00,1.498198918702052518e-01
3.800000000000000000e+01,2.344000000000000306e+00,1.526577872235805877e-01
3.900000000000000000e+01,2.308999999999999719e+00,1.344652371432854543e-01
4.000000000000000000e+01,2.328000000000000291e+00,1.308113144953447771e-01
4.100000000000000000e+01,2.369000000000000661e+00,1.207762393850710936e-01
4.200000000000000000e+01,2.467999999999999972e+00,1.386564098770770859e-01
4.300000000000000000e+01,2.462000000000000188e+00,1.142085811136798884e-01
4.400000000000000000e+01,2.392999999999999794e+00,1.070705374974834090e-01
4.500000000000000000e+01,2.499000000000000110e+00,1.253271718343631769e-01
4.600000000000000000e+01,2.544000000000000483e+00,1.190226869130419363e-01
4.700000000000000000e+01,2.584999999999999964e+00,1.225499898000811660e-01
4.800000000000000000e+01,2.599000000000000199e+00,1.452821393014296081e-01
4.900000000000000000e+01,2.658000000000000362e+00,1.594791522425423602e-01
5.000000000000000000e+01,2.716000000000000192e+00,1.667165258755112234e-01
5.100000000000000000e+01,2.765999999999999570e+00,1.515796820157635783e-01
5.200000000000000000e+01,2.821000000000000174e+00,1.675616304527978440e-01
5.300000000000000000e+01,2.851999999999999869e+00,1.704511660271058326e-01
5.400000000000000000e+01,2.897000000000000242e+00,1.663373079017452238e-01
5.500000000000000000e+01,2.873000000000000220e+00,1.688434185865708703e-01
5.600000000000000000e+01,2.924000000000000377e+00,1.689449614519474008e-01
5.700000000000000000e+01,2.989999999999999769e+00,1.580949082039013742e-01
5.800000000000000000e+01,3.016000000000000014e+00,1.561678584088288246e-01
5.900000000000000000e+01,3.080999999999999961e+00,1.760480048168680534e-01
6.000000000000000000e+01,3.131000000000000671e+00,1.927975622252522114e-01
6.100000000000000000e+01,3.214999999999999858e+00,2.056562666198139822e-01
6.200000000000000000e+01,3.204999999999999627e+00,2.343213605286551815e-01
6.300000000000000000e+01,3.145999999999999908e+00,1.784668036358582621e-01
6.400000000000000000e+01,3.145999999999999908e+00,1.976269212430331046e-01
6.500000000000000000e+01,3.199999999999999734e+00,1.888915032498815205e-01
6.600000000000000000e+01,3.169000000000000039e+00,1.897179485446751634e-01
6.700000000000000000e+01,3.209999999999999520e+00,1.815819374277078124e-01
6.800000000000000000e+01,3.274999999999999911e+00,1.991845877571856993e-01
6.900000000000000000e+01,3.209999999999999520e+00,1.754023945104512816e-01
7.000000000000000000e+01,3.171999999999999709e+00,1.648866277173500761e-01
