# kon = 10.000000
#              p = 0.100000
#              R = 1.000000
#              tmax  = 10000
#              teq = 0 
#              L  = 200
#              M  = 100
#              run time 379.823848 seconds
#              columns: time,dx2,dx2_err
#              
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,4.389999999999998903e-01,2.360699049010694245e-02
2.000000000000000000e+00,8.415000000000002478e-01,3.722267454119868729e-02
3.000000000000000000e+00,1.263500000000000068e+00,4.995425407310171567e-02
4.000000000000000000e+00,1.627000000000000668e+00,6.458490535721174430e-02
5.000000000000000000e+00,1.987500000000000266e+00,8.829035904332928342e-02
6.000000000000000000e+00,2.387999999999999456e+00,9.993277740561401501e-02
7.000000000000000000e+00,2.797499999999999432e+00,1.154910710834391729e-01
8.000000000000000000e+00,3.124500000000001165e+00,1.110889170889697575e-01
9.000000000000000000e+00,3.504999999999998117e+00,1.297507225413407628e-01
1.000000000000000000e+01,3.876999999999998003e+00,1.508134940912119193e-01
1.100000000000000000e+01,4.126500000000000057e+00,1.579437478977880061e-01
1.200000000000000000e+01,4.598500000000000476e+00,1.853475856330478455e-01
1.300000000000000000e+01,5.125500000000001499e+00,1.944151421571889415e-01
1.400000000000000000e+01,5.554499999999998217e+00,2.146614718574341718e-01
1.500000000000000000e+01,5.849999999999998757e+00,2.285891510986468589e-01
1.600000000000000000e+01,6.256999999999999673e+00,2.437334814915669834e-01
1.700000000000000000e+01,6.494999999999996554e+00,2.353035273853751885e-01
1.800000000000000000e+01,6.965000000000002522e+00,2.594604979568181369e-01
1.900000000000000000e+01,7.177500000000000213e+00,2.636706041636041609e-01
2.000000000000000000e+01,7.729999999999997762e+00,2.794074086347747565e-01
2.100000000000000000e+01,8.152999999999998693e+00,3.074880648090263513e-01
2.200000000000000000e+01,8.292500000000003979e+00,3.094199209811804852e-01
2.300000000000000000e+01,8.611500000000004817e+00,3.168941897542458808e-01
2.400000000000000000e+01,8.894500000000000739e+00,3.269838642807930129e-01
2.500000000000000000e+01,9.099500000000000810e+00,3.502045794960425562e-01
2.600000000000000000e+01,9.558500000000000441e+00,3.627334110610711537e-01
2.700000000000000000e+01,9.808000000000003382e+00,3.741708967838092148e-01
2.800000000000000000e+01,1.013100000000000200e+01,4.018997262999813858e-01
2.900000000000000000e+01,1.054550000000000232e+01,4.164637409187023076e-01
3.000000000000000000e+01,1.091100000000000314e+01,4.238157500612736439e-01
3.100000000000000000e+01,1.111850000000000094e+01,4.335750540563882427e-01
3.200000000000000000e+01,1.159750000000000369e+01,4.463868137613385967e-01
3.300000000000000000e+01,1.188799999999999812e+01,4.712669731691369601e-01
3.400000000000000000e+01,1.224900000000000588e+01,4.773363489197109399e-01
