# Time: 2074.52839139, A = 0.240483600384, alpha = 0.578401338548
0.0 ,0.0, 0.0
20.0 ,1.70298657446, 0.0499358672588
40.0 ,2.64887666938, 0.0694844735865
60.0 ,3.27518280921, 0.0869124268321
80.0 ,3.80771956802, 0.0979509833368
100.0 ,4.34365607634, 0.125434703181
120.0 ,4.65326379898, 0.13267450266
140.0 ,4.99847444515, 0.142149892312
160.0 ,5.41270185126, 0.148231581367
180.0 ,5.69190418604, 0.157899462726
200.0 ,6.11545225553, 0.177260174354
220.0 ,6.534861509, 0.187107448131
240.0 ,7.02540505214, 0.211895226376
260.0 ,7.42944208296, 0.218609600753
280.0 ,7.49050264263, 0.240132215567
300.0 ,7.92171525955, 0.261485105769
320.0 ,8.08441881936, 0.262843452754
340.0 ,8.48494722851, 0.279320089778
360.0 ,8.59678037887, 0.300227039486
380.0 ,8.85925811408, 0.330536885131
400.0 ,8.98364130075, 0.319636549614
420.0 ,9.26062089404, 0.331931058957
440.0 ,9.38696610562, 0.344608073903
460.0 ,9.72546800532, 0.362666382189
480.0 ,9.86179526822, 0.378598243231
500.0 ,10.0791155062, 0.394069967761
520.0 ,10.3405561917, 0.416283954865
540.0 ,10.5832790773, 0.430111363924
560.0 ,10.6036727235, 0.429174903631
580.0 ,11.0247079793, 0.437036459137
600.0 ,11.1182142828, 0.421593345209
620.0 ,11.1394054209, 0.420692664564
640.0 ,11.4457363047, 0.432777398343
660.0 ,11.4431373632, 0.474549382937
680.0 ,11.5310431969, 0.480467798887
700.0 ,11.7022562419, 0.478303941322
720.0 ,11.8287923536, 0.495998123502
740.0 ,12.0209215089, 0.475015132502
760.0 ,12.0287738383, 0.455015268105
780.0 ,12.2634305755, 0.445354610873
800.0 ,12.4332446044, 0.450333019639
820.0 ,12.655705105, 0.452723224842
840.0 ,13.0062738193, 0.459679238329
860.0 ,12.8737707159, 0.477977129938
880.0 ,13.2177975008, 0.542408938606
900.0 ,13.3669886204, 0.545326541083
920.0 ,13.5440835411, 0.553013670325
940.0 ,13.6308478442, 0.544322311615
960.0 ,13.6986893527, 0.534745666206
980.0 ,13.7213103631, 0.546767359059
1000.0 ,14.0383974332, 0.567085645507
1020.0 ,13.941770742, 0.557118704146
1040.0 ,14.165147871, 0.606458326733
1060.0 ,14.2588979349, 0.596764744957
1080.0 ,14.3906045369, 0.609422138237
1100.0 ,14.4629991408, 0.605641998453
1120.0 ,14.741431919, 0.610594004868
1140.0 ,15.171633566, 0.595778211153
1160.0 ,15.4118673331, 0.620850974918
1180.0 ,15.7550202509, 0.633848456378
1200.0 ,15.7086292738, 0.642531544974
1220.0 ,15.8452739059, 0.657611159793
1240.0 ,15.9693957917, 0.648289012171
1260.0 ,16.0206530263, 0.661566202257
1280.0 ,16.1619632447, 0.669611489657
1300.0 ,16.2226654979, 0.693631371868
1320.0 ,16.0612409819, 0.681886230787
1340.0 ,16.1343066372, 0.677666814293
1360.0 ,16.2155154523, 0.6850649245
1380.0 ,16.262975041, 0.659853030002
1400.0 ,16.3816105495, 0.678684100648
1420.0 ,16.3691793858, 0.648534546472
1440.0 ,16.7205889616, 0.667414159982
1460.0 ,16.7191717128, 0.689597734454
1480.0 ,16.9574775926, 0.69976031747
1500.0 ,16.8900800948, 0.674091079623
1520.0 ,17.1534029144, 0.708899673454
1540.0 ,17.4777254943, 0.715661566415
1560.0 ,17.6308514443, 0.685795740953
1580.0 ,17.5997678556, 0.703750099007
1600.0 ,17.6390958614, 0.728347499432
1620.0 ,17.7275576164, 0.720684785508
1640.0 ,17.6310981861, 0.702651439834
1660.0 ,17.7777034446, 0.716050980846
1680.0 ,17.8495195687, 0.715545421073
1700.0 ,17.8915241472, 0.704329534855
1720.0 ,17.8764775566, 0.684899551075
1740.0 ,18.1123112999, 0.695671890079
1760.0 ,18.1207845498, 0.706280423073
1780.0 ,18.3176958471, 0.689852115535
1800.0 ,18.4485933928, 0.712738847135
1820.0 ,18.5866837585, 0.726078144173
1840.0 ,18.6401678434, 0.730018497333
1860.0 ,18.7828267047, 0.73415707362
1880.0 ,18.6819952164, 0.705307464858
1900.0 ,18.7677718242, 0.697002921975
1920.0 ,18.9486791068, 0.703951344517
1940.0 ,19.0952357105, 0.735402295446
