# kon = 0.010000
#              p = 0.500000
#              R = 1.000000
#              tmax  = 10000
#              L  = 200
#              M  = 100
#              run time 856.970368 seconds
#              columns: time,dx2,dx2_err
#              
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,2.083000000000001239e-01,5.885669035887084594e-03
2.000000000000000000e+00,3.495999999999999108e-01,9.717942168998539368e-03
3.000000000000000000e+00,4.643000000000000460e-01,1.272183555938371548e-02
4.000000000000000000e+00,5.412999999999997813e-01,1.476865261288246370e-02
5.000000000000000000e+00,6.232999999999999652e-01,1.566209117582962121e-02
6.000000000000000000e+00,6.834999999999997744e-01,1.828134294848166377e-02
7.000000000000000000e+00,7.494999999999998330e-01,2.019721515457019445e-02
8.000000000000000000e+00,8.062000000000003608e-01,2.422056151289643175e-02
9.000000000000000000e+00,8.698000000000001286e-01,2.423343970632315866e-02
1.000000000000000000e+01,9.107000000000000650e-01,2.440051433884130733e-02
1.100000000000000000e+01,9.743000000000003880e-01,2.400135621168103875e-02
1.200000000000000000e+01,9.809000000000002162e-01,2.650248856239730347e-02
1.300000000000000000e+01,1.005100000000000104e+00,2.660131387732567881e-02
1.400000000000000000e+01,1.063499999999999446e+00,2.755952648359547008e-02
1.500000000000000000e+01,1.090800000000000658e+00,3.147846247833589045e-02
1.600000000000000000e+01,1.116799999999999793e+00,2.993422121919993642e-02
1.700000000000000000e+01,1.147999999999999909e+00,3.329113996245847834e-02
1.800000000000000000e+01,1.167599999999999749e+00,3.292328051698373975e-02
1.900000000000000000e+01,1.186599999999999433e+00,3.386302408232318151e-02
2.000000000000000000e+01,1.231899999999999551e+00,3.641035429654591871e-02
2.100000000000000000e+01,1.249100000000000099e+00,3.267478997637168758e-02
2.200000000000000000e+01,1.270700000000000163e+00,3.429322236244357336e-02
2.300000000000000000e+01,1.293000000000000371e+00,3.768275467637684228e-02
2.400000000000000000e+01,1.310200000000000475e+00,4.128292140825306350e-02
2.500000000000000000e+01,1.330599999999999783e+00,4.001995002495629949e-02
2.600000000000000000e+01,1.342200000000000504e+00,4.175370163231038878e-02
2.700000000000000000e+01,1.363199999999999967e+00,4.220802767247007481e-02
2.800000000000000000e+01,1.383399999999999963e+00,3.978221210541214165e-02
2.900000000000000000e+01,1.395899999999999697e+00,4.121434095069336639e-02
3.000000000000000000e+01,1.414000000000000368e+00,4.024524816670907446e-02
3.100000000000000000e+01,1.439300000000000024e+00,4.133358319816950177e-02
3.200000000000000000e+01,1.438899999999999402e+00,3.888390283909269607e-02
3.300000000000000000e+01,1.484899999999999887e+00,3.956475578087144396e-02
3.400000000000000000e+01,1.530599999999999516e+00,4.054030586959107840e-02
3.500000000000000000e+01,1.550899999999999723e+00,4.288498455170527968e-02
3.600000000000000000e+01,1.586999999999999522e+00,4.374414246502038306e-02
3.700000000000000000e+01,1.596200000000000951e+00,4.414289976881899391e-02
3.800000000000000000e+01,1.620800000000000685e+00,4.453238821352387827e-02
3.900000000000000000e+01,1.604499999999999815e+00,4.681332609417962476e-02
4.000000000000000000e+01,1.632699999999999818e+00,4.764301732678147966e-02
4.100000000000000000e+01,1.650099999999999678e+00,4.774023355619450709e-02
4.200000000000000000e+01,1.667300000000000226e+00,4.997976690621915019e-02
4.300000000000000000e+01,1.692400000000000126e+00,5.199425352863525779e-02
4.400000000000000000e+01,1.688899999999999846e+00,5.319941635018189674e-02
4.500000000000000000e+01,1.701100000000000056e+00,5.434572568289066513e-02
4.600000000000000000e+01,1.704799999999999427e+00,5.282659936054941163e-02
4.700000000000000000e+01,1.735999999999999988e+00,5.601160594019779365e-02
4.800000000000000000e+01,1.753599999999999826e+00,5.612495345209652514e-02
4.900000000000000000e+01,1.764399999999999746e+00,5.362188359242893443e-02
5.000000000000000000e+01,1.776099999999998680e+00,5.251645361217759100e-02
5.100000000000000000e+01,1.809700000000000752e+00,5.653131079322324531e-02
5.200000000000000000e+01,1.863500000000000600e+00,5.365712906967722018e-02
5.300000000000000000e+01,1.902800000000000269e+00,5.337828772075776940e-02
5.400000000000000000e+01,1.938500000000000334e+00,5.760909216434504515e-02
5.500000000000000000e+01,1.949899999999999745e+00,5.909424591277900873e-02
5.600000000000000000e+01,1.955600000000000671e+00,5.913616828980382267e-02
5.700000000000000000e+01,1.980699999999999683e+00,5.915712214095610738e-02
5.800000000000000000e+01,1.979800000000000004e+00,5.744579706122979884e-02
5.900000000000000000e+01,2.012000000000000011e+00,5.988355366876618735e-02
6.000000000000000000e+01,2.039699999999999402e+00,5.707143856606385762e-02
6.100000000000000000e+01,2.021899999999998698e+00,5.662185002276063500e-02
6.200000000000000000e+01,2.054600000000000204e+00,5.603916844493679605e-02
6.300000000000000000e+01,2.062500000000000444e+00,5.654526947499675243e-02
6.400000000000000000e+01,2.071099999999999941e+00,5.453565714282720966e-02
6.500000000000000000e+01,2.061299999999999244e+00,5.719049833669924421e-02
6.600000000000000000e+01,2.056699999999999751e+00,5.629228277481736903e-02
6.700000000000000000e+01,2.080600000000000005e+00,5.690040773140382646e-02
6.800000000000000000e+01,2.099900000000000766e+00,5.668871051629239405e-02
6.900000000000000000e+01,2.109399999999999942e+00,5.572662200420908096e-02
7.000000000000000000e+01,2.133699999999998820e+00,5.668291717969357185e-02
7.100000000000000000e+01,2.172000000000000153e+00,5.843474993529106098e-02
7.200000000000000000e+01,2.209200000000000053e+00,6.166209208257533714e-02
7.300000000000000000e+01,2.244199999999998862e+00,6.270154384064238751e-02
7.400000000000000000e+01,2.254500000000000615e+00,6.278716031164333078e-02
7.500000000000000000e+01,2.300000000000000266e+00,6.508348484830848990e-02
7.600000000000000000e+01,2.312999999999999723e+00,6.293734980121103162e-02
7.700000000000000000e+01,2.305400000000000560e+00,6.187009293673316479e-02
7.800000000000000000e+01,2.314799999999999969e+00,6.490199996918430414e-02
7.900000000000000000e+01,2.360499999999999154e+00,6.509491147547555312e-02
8.000000000000000000e+01,2.350900000000000656e+00,6.471307364049398714e-02
8.100000000000000000e+01,2.368399999999999839e+00,6.203301056695541271e-02
8.200000000000000000e+01,2.407200000000000006e+00,6.472419640289095444e-02
8.300000000000000000e+01,2.394799999999999596e+00,6.713113733581457798e-02
8.400000000000000000e+01,2.397899999999999032e+00,6.752811192384991501e-02
8.500000000000000000e+01,2.404799999999999383e+00,6.732094473490400632e-02
8.600000000000000000e+01,2.408600000000000296e+00,6.768545190807251366e-02
8.700000000000000000e+01,2.420999999999999819e+00,6.725109664533361620e-02
8.800000000000000000e+01,2.442899999999999849e+00,6.577450797991574172e-02
8.900000000000000000e+01,2.455500000000001126e+00,6.878086579856348970e-02
9.000000000000000000e+01,2.487600000000000477e+00,7.023348489146755136e-02
9.100000000000000000e+01,2.487200000000000077e+00,6.937392593763162807e-02
9.200000000000000000e+01,2.479100000000000747e+00,6.816188010904629391e-02
9.300000000000000000e+01,2.504700000000000149e+00,6.693944352920778995e-02
9.400000000000000000e+01,2.502800000000000136e+00,6.583905831647350604e-02
9.500000000000000000e+01,2.517300000000000537e+00,6.928966084489085464e-02
9.600000000000000000e+01,2.551800000000001400e+00,6.938593229178377508e-02
9.700000000000000000e+01,2.526800000000000157e+00,6.614814887810541166e-02
9.800000000000000000e+01,2.576600000000000446e+00,6.998631580530582930e-02
9.900000000000000000e+01,2.586100000000000509e+00,7.168234022407471429e-02
1.000000000000000000e+02,2.580400000000000027e+00,6.844003506720316987e-02
1.010000000000000000e+02,2.575000000000000178e+00,7.114133819376748658e-02
1.020000000000000000e+02,2.582800000000000207e+00,6.882660532090767447e-02
1.030000000000000000e+02,2.589599999999999014e+00,6.945630568926050574e-02
1.040000000000000000e+02,2.569399999999999462e+00,6.692395983502469337e-02
1.050000000000000000e+02,2.584199999999999608e+00,6.881237970016731986e-02
1.060000000000000000e+02,2.578200000000000713e+00,6.926563072693413259e-02
1.070000000000000000e+02,2.603500000000000814e+00,7.030979661469657915e-02
1.080000000000000000e+02,2.597900000000000098e+00,6.780166590873706878e-02
1.090000000000000000e+02,2.585300000000001042e+00,6.611345627026318783e-02
1.100000000000000000e+02,2.619900000000000784e+00,7.085964930762780889e-02
1.110000000000000000e+02,2.663799999999998835e+00,6.981615572344271325e-02
1.120000000000000000e+02,2.668899999999999384e+00,6.964178271698680256e-02
1.130000000000000000e+02,2.685600000000000431e+00,7.075525704850488262e-02
1.140000000000000000e+02,2.687899999999999512e+00,6.776522633327511369e-02
1.150000000000000000e+02,2.714500000000000579e+00,7.137455779197515726e-02
1.160000000000000000e+02,2.735099999999999199e+00,7.042208389418760928e-02
1.170000000000000000e+02,2.731400000000000272e+00,7.043649906121116078e-02
1.180000000000000000e+02,2.748899999999999899e+00,7.319165184636836075e-02
1.190000000000000000e+02,2.765499999999998515e+00,6.725226761976135781e-02
1.200000000000000000e+02,2.782000000000000473e+00,6.917600740141049975e-02
1.210000000000000000e+02,2.792699999999998628e+00,7.067670832742564690e-02
1.220000000000000000e+02,2.784400000000001540e+00,7.016043329398699568e-02
1.230000000000000000e+02,2.808599999999999763e+00,7.312414375567073688e-02
1.240000000000000000e+02,2.838000000000000078e+00,7.269057710597706667e-02
1.250000000000000000e+02,2.850699999999999346e+00,7.270312991886938858e-02
1.260000000000000000e+02,2.833500000000000352e+00,7.389849457194645754e-02
1.270000000000000000e+02,2.834199999999998276e+00,7.708815473209876257e-02
1.280000000000000000e+02,2.849599999999999689e+00,7.714595517588722362e-02
1.290000000000000000e+02,2.809800000000000963e+00,7.515583543544707146e-02
1.300000000000000000e+02,2.772900000000000365e+00,7.136291684061128737e-02
1.310000000000000000e+02,2.826300000000000701e+00,7.537461840699427595e-02
1.320000000000000000e+02,2.840100000000000069e+00,7.777049504792930834e-02
1.330000000000000000e+02,2.850600000000000023e+00,7.914882437535000759e-02
1.340000000000000000e+02,2.879100000000000215e+00,8.263317675122988648e-02
1.350000000000000000e+02,2.878099999999999881e+00,8.025779650600931014e-02
1.360000000000000000e+02,2.907399999999999096e+00,7.929560139124995632e-02
1.370000000000000000e+02,2.907399999999999984e+00,7.984630486127707039e-02
1.380000000000000000e+02,2.922800000000000509e+00,8.160466653323203423e-02
1.390000000000000000e+02,2.961000000000002075e+00,8.496169725235010184e-02
1.400000000000000000e+02,2.963500000000001577e+00,8.396599013886515972e-02
1.410000000000000000e+02,2.967699999999999783e+00,8.264210246599491827e-02
