# kon = 1.000000
#              p = 0.100000
#              R = 1.000000
#              tmax  = 10000
#              L  = 200
#              M  = 100
#              run time 374.473014 seconds
#              columns: time,dx2,dx2_err
#              
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,4.654999999999999138e-01,2.021997774479487170e-02
2.000000000000000000e+00,9.210000000000002629e-01,3.853037762597193855e-02
3.000000000000000000e+00,1.320999999999999730e+00,5.453521797884371830e-02
4.000000000000000000e+00,1.702000000000000846e+00,7.600631552706657579e-02
5.000000000000000000e+00,2.119500000000000384e+00,8.338133784007069338e-02
6.000000000000000000e+00,2.409499999999999087e+00,9.090020627039301082e-02
7.000000000000000000e+00,2.813999999999999613e+00,1.122476725816619891e-01
8.000000000000000000e+00,3.186999999999999389e+00,1.349752199479593295e-01
9.000000000000000000e+00,3.610500000000000487e+00,1.462571280314227951e-01
1.000000000000000000e+01,3.947499999999999343e+00,1.551489203958570928e-01
1.100000000000000000e+01,4.286500000000001087e+00,1.606266711975318784e-01
1.200000000000000000e+01,4.796999999999999709e+00,1.802870211634770015e-01
1.300000000000000000e+01,5.071500000000001229e+00,1.815313402693871370e-01
1.400000000000000000e+01,5.511500000000001620e+00,2.161722172250633844e-01
1.500000000000000000e+01,6.001000000000000334e+00,2.354803388820391752e-01
1.600000000000000000e+01,6.480999999999998096e+00,2.611673601352205720e-01
1.700000000000000000e+01,6.789999999999997371e+00,2.679328274026905876e-01
1.800000000000000000e+01,7.227500000000002700e+00,2.809460579897856691e-01
1.900000000000000000e+01,7.536500000000001087e+00,2.983578849301622982e-01
2.000000000000000000e+01,8.004000000000004889e+00,3.136651717994842214e-01
2.100000000000000000e+01,8.210000000000000853e+00,3.203193718775060317e-01
2.200000000000000000e+01,8.568499999999994898e+00,3.280195535330173717e-01
2.300000000000000000e+01,9.025500000000004519e+00,3.375259212267999742e-01
2.400000000000000000e+01,9.285999999999997812e+00,3.501635903402865457e-01
2.500000000000000000e+01,9.615500000000002601e+00,3.536549837058711176e-01
2.600000000000000000e+01,1.010150000000000325e+01,3.754213998961700716e-01
2.700000000000000000e+01,1.027599999999999980e+01,3.819636631932413762e-01
2.800000000000000000e+01,1.064649999999999785e+01,3.954853063010053682e-01
2.900000000000000000e+01,1.078599999999999959e+01,3.949259930670555585e-01
3.000000000000000000e+01,1.106150000000000233e+01,3.878452365312740069e-01
3.100000000000000000e+01,1.147900000000000098e+01,3.820897669396551843e-01
3.200000000000000000e+01,1.186500000000000199e+01,4.093583393556310956e-01
3.300000000000000000e+01,1.222849999999999149e+01,4.209342317987454507e-01
3.400000000000000000e+01,1.249499999999999389e+01,4.133881348079549989e-01
3.500000000000000000e+01,1.265300000000000225e+01,4.156920855633409739e-01
3.600000000000000000e+01,1.297250000000000014e+01,4.340848851319289992e-01
3.700000000000000000e+01,1.340199999999999747e+01,4.650526421815061040e-01
3.800000000000000000e+01,1.388249999999999851e+01,4.751838460006821419e-01
3.900000000000000000e+01,1.415599999999999881e+01,4.732595904997595748e-01
4.000000000000000000e+01,1.439400000000000546e+01,4.925765321247045359e-01
4.100000000000000000e+01,1.463750000000000462e+01,5.077762179346330118e-01
4.200000000000000000e+01,1.475249999999999950e+01,5.086685438475628818e-01
4.300000000000000000e+01,1.507749999999999702e+01,5.078544944174463449e-01
4.400000000000000000e+01,1.514000000000000057e+01,4.953100039369283669e-01
4.500000000000000000e+01,1.531399999999999828e+01,5.061003260224203881e-01
4.600000000000000000e+01,1.565300000000000225e+01,5.337545409642900918e-01
4.700000000000000000e+01,1.593599999999999639e+01,5.560769191397895161e-01
4.800000000000000000e+01,1.631799999999999784e+01,5.759286066866273757e-01
4.900000000000000000e+01,1.647549999999998960e+01,5.706104165715868426e-01
5.000000000000000000e+01,1.669600000000000151e+01,5.716212382338501374e-01
5.100000000000000000e+01,1.715449999999999875e+01,5.899339348605062705e-01
5.200000000000000000e+01,1.736649999999999494e+01,6.046317288234219767e-01
5.300000000000000000e+01,1.760800000000000765e+01,6.421937869521939790e-01
5.400000000000000000e+01,1.790300000000000935e+01,6.699559015338248935e-01
5.500000000000000000e+01,1.803849999999999909e+01,6.967423680959844434e-01
5.600000000000000000e+01,1.858749999999999147e+01,7.148934798275892177e-01
5.700000000000000000e+01,1.880199999999999960e+01,7.033718504461206056e-01
5.800000000000000000e+01,1.928399999999999537e+01,7.320583583294435481e-01
5.900000000000000000e+01,1.957999999999999119e+01,7.727192245570184692e-01
6.000000000000000000e+01,1.973000000000000753e+01,7.720799829033258010e-01
6.100000000000000000e+01,1.980699999999999505e+01,7.659735700401156810e-01
6.200000000000000000e+01,2.018949999999999889e+01,7.667386435415916024e-01
6.300000000000000000e+01,2.054000000000000625e+01,7.475586933478869378e-01
