# kon = 0.100000
#              p = 0.500000
#              R = 1.000000
#              tmax  = 10000
#              teq = 0 
#              L  = 50
#              M  = 400
#              run time 682.442656 seconds
#              columns: time,dx2,dx2_err
#              
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,2.128999999999995618e-01,5.505812837356533623e-03
2.000000000000000000e+00,3.787999999999999701e-01,9.740451734904280456e-03
3.000000000000000000e+00,5.093000000000001970e-01,1.333955677674485488e-02
4.000000000000000000e+00,6.201999999999994184e-01,1.555827432590132196e-02
5.000000000000000000e+00,7.274000000000002686e-01,1.819843674605045938e-02
6.000000000000000000e+00,8.169000000000005146e-01,1.965695741970256011e-02
7.000000000000000000e+00,8.951999999999999957e-01,2.153607206525833678e-02
8.000000000000000000e+00,9.528999999999999693e-01,2.107614706249696240e-02
9.000000000000000000e+00,1.012400000000000633e+00,2.266573625541425802e-02
1.000000000000000000e+01,1.105599999999999916e+00,2.499883197271423815e-02
1.100000000000000000e+01,1.171799999999999731e+00,2.625094093551697677e-02
1.200000000000000000e+01,1.218199999999999728e+00,2.755851773953021250e-02
1.300000000000000000e+01,1.288300000000000223e+00,2.804456765578674377e-02
1.400000000000000000e+01,1.358400000000000496e+00,3.003454011633938797e-02
1.500000000000000000e+01,1.422299999999999898e+00,3.051142040285899706e-02
1.600000000000000000e+01,1.495899999999999785e+00,3.320328259374364516e-02
1.700000000000000000e+01,1.549799999999999400e+00,3.405377952592048008e-02
1.800000000000000000e+01,1.588500000000000245e+00,3.585748701456923510e-02
1.900000000000000000e+01,1.643099999999997785e+00,3.824115551339944685e-02
2.000000000000000000e+01,1.696000000000002172e+00,3.981733290917414958e-02
2.100000000000000000e+01,1.748999999999999222e+00,3.994743421047216442e-02
2.200000000000000000e+01,1.808800000000000630e+00,3.943965517090638334e-02
2.300000000000000000e+01,1.848099999999999410e+00,4.054091729351963491e-02
2.400000000000000000e+01,1.889299999999999535e+00,4.086580202320761607e-02
2.500000000000000000e+01,1.922399999999998998e+00,4.378887529955528130e-02
2.600000000000000000e+01,1.939799999999998859e+00,4.542444165864895772e-02
2.700000000000000000e+01,1.983400000000000496e+00,4.646429919841684603e-02
2.800000000000000000e+01,2.022899999999999476e+00,4.612850501587926338e-02
2.900000000000000000e+01,2.066299999999999137e+00,4.634415578042175299e-02
3.000000000000000000e+01,2.124599999999999156e+00,4.845273057320918092e-02
3.100000000000000000e+01,2.194300000000003248e+00,4.963294042266692963e-02
3.200000000000000000e+01,2.214300000000000157e+00,4.960885782801290750e-02
3.300000000000000000e+01,2.239999999999998881e+00,4.954129590553724150e-02
3.400000000000000000e+01,2.285300000000001219e+00,5.161840538993818506e-02
3.500000000000000000e+01,2.304899999999999505e+00,5.185074710165708117e-02
3.600000000000000000e+01,2.358300000000001173e+00,5.363956352357840407e-02
3.700000000000000000e+01,2.381600000000001494e+00,5.317549811708398300e-02
3.800000000000000000e+01,2.432300000000001017e+00,5.408827761169697490e-02
3.900000000000000000e+01,2.507500000000000728e+00,5.559927495030846101e-02
4.000000000000000000e+01,2.517500000000000071e+00,5.523761739068764470e-02
4.100000000000000000e+01,2.547799999999999621e+00,5.634738591984543576e-02
4.200000000000000000e+01,2.590500000000001801e+00,5.864200179905187937e-02
4.300000000000000000e+01,2.653999999999998138e+00,5.902838300343319494e-02
4.400000000000000000e+01,2.691399999999999793e+00,5.976884723666668620e-02
4.500000000000000000e+01,2.713900000000001089e+00,6.039401439712380887e-02
4.600000000000000000e+01,2.754699999999999704e+00,6.133106696446750938e-02
4.700000000000000000e+01,2.798200000000002685e+00,6.367096591068803491e-02
4.800000000000000000e+01,2.852100000000000524e+00,6.550346536634532590e-02
4.900000000000000000e+01,2.902100000000000790e+00,6.603945014156310800e-02
5.000000000000000000e+01,2.922799999999999621e+00,6.579696345577051853e-02
5.100000000000000000e+01,2.958800000000000985e+00,6.543528405990151064e-02
5.200000000000000000e+01,2.988900000000002777e+00,6.983467602130051521e-02
5.300000000000000000e+01,3.021899999999999586e+00,7.104569638619917527e-02
5.400000000000000000e+01,3.054400000000001114e+00,7.134340614240394784e-02
