# kon = 0.100000
#              p = 0.500000
#              R = 1.000000
#              tmax  = 10000
#              L  = 50
#              M  = 100
#              run time 174.055622 seconds
#              columns: time,dx2,dx2_err
#              
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,2.067999999999998451e-01,1.179905080928123594e-02
2.000000000000000000e+00,3.555999999999997496e-01,1.977388176357895017e-02
3.000000000000000000e+00,4.792000000000000148e-01,2.244267363751475605e-02
4.000000000000000000e+00,5.828000000000000957e-01,2.731888723941734015e-02
5.000000000000000000e+00,6.747999999999998444e-01,2.921180583257392341e-02
6.000000000000000000e+00,8.067999999999997396e-01,3.691744303171605457e-02
7.000000000000000000e+00,8.652000000000005242e-01,3.907185176057054871e-02
8.000000000000000000e+00,9.327999999999999625e-01,3.833277448868005477e-02
9.000000000000000000e+00,1.044800000000000395e+00,4.135032768914897322e-02
1.000000000000000000e+01,1.077199999999999935e+00,4.653860333099822666e-02
1.100000000000000000e+01,1.167600000000000193e+00,5.061760958401730764e-02
1.200000000000000000e+01,1.243200000000000527e+00,5.681599774711345446e-02
1.300000000000000000e+01,1.327999999999999847e+00,5.804549939487128191e-02
1.400000000000000000e+01,1.365599999999999481e+00,5.960676471676682603e-02
1.500000000000000000e+01,1.420400000000000551e+00,6.108484591124054008e-02
1.600000000000000000e+01,1.486799999999999233e+00,6.479766662465555327e-02
1.700000000000000000e+01,1.530000000000000027e+00,6.877528625894624437e-02
1.800000000000000000e+01,1.577200000000000379e+00,7.116685745485747117e-02
1.900000000000000000e+01,1.638000000000000345e+00,7.262919523166974645e-02
2.000000000000000000e+01,1.700400000000000800e+00,7.907564985505965982e-02
2.100000000000000000e+01,1.756799999999999473e+00,7.889776676180385029e-02
2.200000000000000000e+01,1.794399999999999995e+00,7.857331862661777466e-02
2.300000000000000000e+01,1.858000000000000762e+00,7.869205804908142865e-02
2.400000000000000000e+01,1.894400000000000528e+00,7.779258576496864142e-02
2.500000000000000000e+01,1.973600000000000465e+00,7.884205984117868826e-02
2.600000000000000000e+01,1.985599999999998699e+00,7.747106814805121422e-02
2.700000000000000000e+01,2.054799999999999738e+00,8.098524310020929762e-02
2.800000000000000000e+01,2.062799999999999745e+00,8.024812521174561064e-02
2.900000000000000000e+01,2.106000000000000316e+00,8.481580041478117837e-02
3.000000000000000000e+01,2.124000000000000110e+00,8.202536193153917021e-02
3.100000000000000000e+01,2.124000000000000554e+00,8.746839429188124626e-02
3.200000000000000000e+01,2.184399999999999231e+00,9.048296193206763205e-02
3.300000000000000000e+01,2.307599999999999874e+00,9.827747656508076246e-02
3.400000000000000000e+01,2.327199999999999047e+00,1.001620766557882458e-01
3.500000000000000000e+01,2.402399999999999203e+00,1.058252446252783419e-01
3.600000000000000000e+01,2.376399999999998514e+00,9.981598268814469155e-02
3.700000000000000000e+01,2.411200000000000454e+00,1.001679869020037639e-01
3.800000000000000000e+01,2.466800000000000104e+00,1.033503633278567424e-01
3.900000000000000000e+01,2.530400000000000205e+00,1.066652633241019360e-01
4.000000000000000000e+01,2.598000000000000309e+00,1.124325575623004447e-01
4.100000000000000000e+01,2.664400000000000990e+00,1.217208544169814805e-01
4.200000000000000000e+01,2.677999999999998604e+00,1.214477665500687531e-01
4.300000000000000000e+01,2.759999999999999787e+00,1.268069398731788699e-01
4.400000000000000000e+01,2.811600000000000321e+00,1.328425172902109597e-01
4.500000000000000000e+01,2.792400000000000659e+00,1.305492336247134066e-01
4.600000000000000000e+01,2.826399999999998247e+00,1.365415336079099373e-01
4.700000000000000000e+01,2.882800000000000473e+00,1.367804138025616456e-01
4.800000000000000000e+01,2.884399999999997632e+00,1.350020977614792561e-01
4.900000000000000000e+01,2.899199999999999111e+00,1.405582925337384714e-01
